Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
2020-05-23,Vermont,US,2020-05-24 02:32:48,44.0459,-72.7107,954,54,837,63.0,50,152.88731051348663,27424,,5.660377358490566,84000050,USA,4394.949269939053,
2020-05-23,Virgin Islands,US,2020-05-24 02:32:48,18.3358,-64.8963,69,6,61,2.0,78,64.32486855352948,1412,,8.695652173913043,850,VIR,1316.3291941678785,
2020-05-23,Virginia,US,2020-05-24 02:32:48,37.7693,-78.17,35749,1159,5047,29543.0,51,418.8263185870713,232470,6431,3.242048728635766,84000051,USA,2723.560219361002,17.989314386416403
2020-05-23,Washington,US,2020-05-24 02:32:48,47.4009,-121.4905,19265,1050,,18215.0,53,252.99107945443225,308358,3230,5.450298468725668,84000053,USA,4049.406866255376,16.766156241889437
2020-05-23,West Virginia,US,2020-05-24 02:32:48,38.4912,-80.9545,1705,72,1110,523.0,54,95.1372850552996,83744,,4.222873900293255,84000054,USA,4672.830967548979,
2020-05-23,Wisconsin,US,2020-05-24 02:32:48,44.2685,-89.6165,14877,507,8688,5682.0,55,255.5116983721928,194206,2292,3.407945150231902,84000055,USA,3335.477911814887,15.406331921758419
2020-05-23,Wyoming,US,2020-05-24 02:32:48,42.756,-107.3025,813,12,551,250.0,56,140.47297752605144,20034,77,1.4760147601476015,84000056,USA,3461.5444425054297,9.47109471094711
2020-05-24,Alabama,US,2020-05-25 02:32:50,32.3182,-86.9023,14676,551,7951,5976.0,1,295.277457407787,185799,1612,3.8057742782152233,84000001,USA,3789.353246920114,11.134134548970852
2020-05-24,Alaska,US,2020-05-25 02:32:50,61.3707,-152.4044,407,10,358,39.0,2,55.635675180610896,43507,,2.457002457002457,84000002,USA,5947.275970719505,
2020-05-24,American Samoa,US,2020-05-25 02:32:50,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,124,,,16,ASM,222.85724555633436,
2020-05-24,Arizona,US,2020-05-25 02:32:50,33.7298,-111.4312,16377,801,4132,11444.0,4,224.9984440939248,183641,1945,4.891005678695731,84000004,USA,2522.9858503909413,11.876412041277401
2020-05-24,Arkansas,US,2020-05-25 02:32:50,34.9697,-92.3731,5922,116,4148,1658.0,5,196.23540826375736,108581,598,1.9587977034785546,84000005,USA,3598.0136549623503,10.097939885173927
2020-05-24,California,US,2020-05-25 02:32:50,36.1162,-119.6816,94020,3754,,90266.0,6,237.9516839637193,1582745,,3.992767496277388,84000006,USA,4005.7098280701643,
2020-05-24,Colorado,US,2020-05-25 02:32:50,39.0598,-105.3111,24174,1332,3640,19202.0,8,419.77961830512805,150051,4105,5.5100521221146685,84000008,USA,2605.6238730165787,16.98105402498552
2020-05-24,Connecticut,US,2020-05-25 02:32:50,41.5978,-72.7554,40468,3693,7127,29648.0,9,1135.0558875063914,214136,12538,9.125728971038846,84000009,USA,6006.1363923858025,30.982504695067707
2020-05-24,Delaware,US,2020-05-25 02:32:50,39.3185,-75.5071,8809,326,4598,3885.0,10,904.6339770211263,51870,,3.700760585764559,84000010,USA,5326.752683401728,
2020-05-24,Diamond Princess,US,2020-05-25 02:32:50,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
2020-05-24,District of Columbia,US,2020-05-25 02:32:50,38.8974,-77.0268,8110,432,1075,6603.0,11,1149.1337571856284,51991,,5.326757090012331,84000011,USA,7366.7833748258945,
2020-05-24,Florida,US,2020-05-25 02:32:50,27.7663,-81.6868,50867,2237,,48630.0,12,236.8359385348652,871235,9638,4.397743134055478,84000012,USA,4056.4562272086673,18.947451196256907
2020-05-24,Georgia,US,2020-05-25 02:32:50,33.0406,-83.6431,42902,1827,,41075.0,13,404.0716848146674,481954,7439,4.258542725280873,84000013,USA,4539.274737382131,17.339517971190155
2020-05-24,Grand Princess,US,2020-05-25 02:32:50,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
2020-05-24,Guam,US,2020-05-25 02:32:50,13.4443,144.7937,166,5,138,23.0,66,101.0783722728629,5569,,3.0120481927710845,316,GUM,3390.9967179974306,
2020-05-24,Hawaii,US,2020-05-25 02:32:50,21.0943,-157.4983,643,17,589,37.0,15,45.41370971387244,49572,84,2.6438569206842923,84000015,USA,3501.16394702346,13.063763608087092
2020-05-24,Idaho,US,2020-05-25 02:32:50,44.2405,-114.4788,2626,79,1755,792.0,16,146.94485091476807,41406,225,3.0083777608530085,84000016,USA,2316.983433730726,8.568164508758569
2020-05-24,Illinois,US,2020-05-25 02:32:50,40.3495,-88.9861,110304,4856,,105448.0,17,870.4668413482167,747921,,4.402378880185669,84000017,USA,5902.237728894687,
2020-05-24,Indiana,US,2020-05-25 02:32:50,39.8494,-86.2583,31376,1976,,29400.0,18,466.05732820040464,220801,5285,6.297807241203468,84000018,USA,3279.765557240488,16.844084650688423
2020-05-24,Iowa,US,2020-05-25 02:32:50,42.0115,-93.2105,17251,456,9318,7477.0,19,546.7707531053194,127756,,2.643325024636253,84000019,USA,4049.2287017403733,
2020-05-24,Kansas,US,2020-05-25 02:32:50,38.5266,-96.7265,9004,205,485,8314.0,20,309.06383589273247,76434,787,2.276765881830298,84000020,USA,2623.6100880303325,8.74055975122168
2020-05-24,Kentucky,US,2020-05-25 02:32:50,37.6681,-84.6701,8571,391,3102,5078.0,21,191.84483734597407,169856,2131,4.561894761404737,84000021,USA,3801.8897085798358,24.862909812157273
2020-05-24,Louisiana,US,2020-05-25 02:32:50,31.1695,-91.8678,37169,2691,26249,8229.0,22,799.5406980821263,316036,,7.239904221259652,84000022,USA,6798.236273751859,
2020-05-24,Maine,US,2020-05-25 02:32:50,44.6939,-69.3819,2055,78,1263,714.0,23,152.87767108164485,37505,252,3.795620437956204,84000023,USA,2790.1104885241316,12.262773722627736
2020-05-24,Maryland,US,2020-05-25 02:32:50,39.0639,-76.8021,46313,2277,3319,40717.0,24,766.0511307247489,240362,7939,4.916546110163453,84000024,USA,3975.7645128422278,17.142055146503143
2020-05-24,Massachusetts,US,2020-05-25 02:32:50,42.2302,-71.5301,92675,6372,,86303.0,25,1344.5768540108,532373,9308,6.875640679794983,84000025,USA,7723.9429565718,10.043701106015646
2020-05-24,Michigan,US,2020-05-25 02:32:50,43.3266,-84.5361,54679,5228,33168,16283.0,26,547.5095918565771,451232,,9.561257521169004,84000026,USA,4518.25834694539,
2020-05-24,Minnesota,US,2020-05-25 02:32:50,45.6945,-93.9002,20573,878,14115,5580.0,27,364.7933056624971,197964,2588,4.267729548437273,84000027,USA,3510.229036220803,12.579594614300296
2020-05-24,Mississippi,US,2020-05-25 02:32:50,32.7416,-89.6787,13260,625,7681,4954.0,28,445.5422090762257,137902,2023,4.71342383107089,84000028,USA,4633.571773456235,15.256410256410257
2020-05-24,Missouri,US,2020-05-25 02:32:50,38.4561,-92.2884,12149,686,,11463.0,29,197.94936901907445,151619,,5.646555272038851,84000029,USA,2470.3996527535637,
2020-05-24,Montana,US,2020-05-25 02:32:50,46.9219,-110.4544,479,16,441,22.0,30,44.817539283181354,33381,65,3.3402922755741127,84000030,USA,3123.28659459682,13.569937369519833
